,date,market,name,fullName,code,fullCode,bubinCode
1486,2022-06-24,KOSDAQ,디와이피엔에프,디와이피엔에프(주),A104460,KR7104460001,1101111725386
1487,2022-06-24,KOSDAQ,티케이케미칼,(주)티케이케미칼,A104480,KR7104480009,1101113783457
1488,2022-06-24,KOSDAQ,코렌텍,(주)코렌텍,A104540,KR7104540000,1101111983653
1489,2022-06-24,KOSDAQ,노랑풍선,(주)노랑풍선,A104620,KR7104620000,1101112307539
1490,2022-06-24,KOSPI,한국철강,한국철강(주),A104700,KR7104700000,1942110094318
1491,2022-06-24,KOSDAQ,원익머트리얼즈,(주)원익머트리얼즈,A104830,KR7104830005,1501110101662
1492,2022-06-24,KOSDAQ,케이엔더블유,(주)케이엔더블유,A105330,KR7105330005,1311110056480
1493,2022-06-24,KOSDAQ,트루윈,(주)트루윈,A105550,KR7105550008,1601110207244
1494,2022-06-24,KOSPI,KB금융,(주)KB금융지주,A105560,KR7105560007,1101113975517
1495,2022-06-24,KOSPI,한세실업,한세실업(주),A105630,KR7105630008,1201110484303
1496,2022-06-24,KOSDAQ,디케이락,디케이락(주),A105740,KR7105740005,1801110121507
1497,2022-06-24,KOSPI,우진,(주)우진,A105840,KR7105840003,1345110001814
1498,2022-06-24,KOSDAQ,하이소닉,(주)하이소닉,A106080,KR7106080005,1350110111703
1499,2022-06-24,KOSDAQ,하이텍팜,(주)하이텍팜,A106190,KR7106190002,1545110012907
1500,2022-06-24,KOSDAQ,파인테크닉스,(주)파인테크닉스,A106240,KR7106240005,1341110173489
1501,2022-06-24,KOSDAQ,노블엠앤비,(주)노블엠앤비,A106520,KR7106520000,1101111905706
1502,2022-06-24,KOSPI,미원홀딩스,미원홀딩스(주),A107590,KR7107590002,2101110063190
1503,2022-06-24,KONEX,한중엔시에스,(주)한중엔시에스,A107640,KR7107640005,1701110090291
1504,2022-06-24,KOSDAQ,톱텍,(주)톱텍,A108230,KR7108230004,1845110014990
1505,2022-06-24,KOSDAQ,LX세미콘,(주)엘엑스세미콘,A108320,KR7108320003,1601110089395
1506,2022-06-24,KOSDAQ,대양전기공업,대양전기공업(주),A108380,KR7108380007,1801110081389
1507,2022-06-24,KOSDAQ,로보티즈,(주)로보티즈,A108490,KR7108490004,1101111670044
1508,2022-06-24,KOSPI,LX하우시스,(주)엘엑스하우시스,A108670,KR7108670001,1101114071207
