date,open,high,low,close,vol
1989-04-10,982.65,982.65,963.36,963.36,"14,410,400"
1989-04-08,978.36,982.63,978.36,982.62,"13,279,400"
1989-04-07,982.69,982.69,977.5,978.13,"17,228,600"
1989-04-06,"1,001.23","1,002.11",982.65,982.65,"17,239,900"
1989-04-04,"1,005.92","1,005.92",996.72,"1,000.98","17,344,500"
1989-04-03,"1,007.90","1,015.75","1,006.15","1,006.15","24,497,500"
1989-04-01,"1,003.31","1,007.77","1,003.31","1,007.77","13,913,600"
1989-03-31,987.84,"1,005.72",987.84,"1,003.31","30,480,400"
1989-03-30,984.66,987.44,983.13,987.44,"22,556,900"
1989-03-29,979.01,989.3,979.01,985.21,"25,330,700"
1989-03-28,973.21,978.53,973.03,978.53,"17,792,600"
1989-03-27,979.47,981.36,973.09,973.09,"15,114,600"
1989-03-25,971.82,979.55,971.82,979.16,"16,088,400"
1989-03-24,983.63,983.63,971.41,971.45,"14,923,900"
1989-03-23,981.46,984.72,979.89,983.55,"16,939,300"
1989-03-22,992.94,"1,000.49",981.56,981.56,"21,651,900"
1989-03-21,991.48,992.59,985.71,992.59,"18,718,200"
1989-03-20,981.76,"1,000.28",981.76,991.64,"25,687,000"
1989-03-18,985.09,985.09,977.37,981.41,"13,204,400"
1989-03-17,986.51,997.05,985.68,985.68,"29,494,900"
1989-03-16,986.37,987.72,983.39,986.09,"27,467,900"
1989-03-15,971.51,987.54,971.51,986,"27,235,800"
1989-03-14,972.31,972.31,968.91,970.74,"24,357,200"
1989-03-13,963.79,974.33,963.79,971.94,"26,566,400"
1989-03-11,951.28,963.16,951.28,963.16,"15,672,000"
1989-03-09,939.92,953.54,939.92,950.87,"21,556,600"
1989-03-08,923.33,939.49,923.33,939.49,"19,248,000"
1989-03-07,921.43,923.2,921.43,923.2,"14,345,700"
1989-03-06,913.62,921.53,913.62,921.53,"9,543,100"
1989-03-04,909.77,913.62,909.77,913.62,"6,979,100"
1989-03-03,916.26,916.26,909.15,909.72,"10,508,600"
1989-03-02,918.07,918.14,916.34,916.34,"10,490,600"
1989-02-28,922.4,922.4,916.89,917.9,"9,619,200"
1989-02-27,918.83,924.34,918.83,922.44,"11,389,300"
1989-02-25,917.12,918.69,917.12,918.6,"8,326,900"
1989-02-24,924.32,924.32,915.59,917.08,"11,515,500"
1989-02-23,924.32,927.52,924.32,924.45,"12,947,700"
1989-02-22,917.74,924.5,917.74,924.32,"17,620,000"
1989-02-21,914.93,917.7,914.93,917.7,"13,718,200"
1989-02-20,909.08,918.34,909.08,914.88,"15,025,500"
1989-02-18,900.59,908.88,900.59,908.88,"9,562,800"
1989-02-17,895.76,901.02,895.76,900.44,"13,261,200"
1989-02-16,893.96,895.68,892.15,895.68,"11,764,600"
1989-02-15,900.07,900.45,894.15,894.15,"14,034,800"
1989-02-14,897.52,901.41,897.52,900.05,"14,780,600"
1989-02-13,887.79,897.67,887.79,897.67,"16,953,300"
1989-02-11,883.31,887.52,882.78,887.52,"8,274,700"
1989-02-10,892.8,892.8,882.29,883.27,"11,241,200"
1989-02-09,892.32,892.88,891.25,892.86,"16,715,800"
1989-02-08,888.03,892.43,888.03,891.97,"14,250,600"
1989-02-04,886.23,887.75,886.23,887.75,"12,449,900"
1989-02-03,878.78,886.6,878.78,885.85,"14,877,500"
1989-02-02,886.73,886.73,877.34,878.42,"9,526,400"
1989-02-01,884.38,886.68,884.38,886.68,"14,526,500"
1989-01-31,881.3,884.29,881.19,884.29,"16,635,000"
1989-01-30,869.87,881.34,869.87,881.33,"12,162,500"
1989-01-28,873.81,873.81,869.76,869.74,"6,112,800"
1989-01-27,861.66,873.92,861.66,873.92,"9,906,200"
1989-01-26,858.47,861.52,858.47,861.46,"7,834,200"
1989-01-25,855.78,858.4,849.03,858.4,"8,720,500"
1989-01-24,862.7,867.97,855.96,855.96,"9,151,800"
1989-01-23,864.86,864.86,858.19,862.84,"6,735,000"
1989-01-21,868.51,868.51,864.86,864.86,"5,806,300"
1989-01-20,862.53,868.51,859.07,868.51,"9,475,800"
1989-01-19,867.09,869.49,863.07,863.07,"10,358,800"
1989-01-18,881.49,881.49,864.01,867.16,"9,284,100"
1989-01-17,886.49,887.68,881.83,881.83,"10,426,600"
1989-01-16,905.66,908.4,886.62,886.62,"11,121,200"
1989-01-14,886.84,905.62,886.84,905.62,"8,559,100"
1989-01-13,889.34,889.34,885.27,886.75,"10,775,700"
1989-01-12,884.79,892.48,884.79,889.26,"14,126,400"
1989-01-11,896.73,896.73,884.12,884.63,"11,037,600"
1989-01-10,896.73,896.73,896.73,896.73,"18,746,200"
1989-01-09,919.74,919.74,901.5,901.64,"15,220,900"
1989-01-07,920.48,924.53,919.51,919.51,"13,078,300"
1989-01-06,917.12,920.28,906.01,920.28,"16,049,000"
1989-01-05,919.68,937.34,917.49,917.49,"19,653,100"
1989-01-04,907.2,919.61,896.25,919.61,"3,675,900"
1988-12-26,885.31,907.2,885.31,907.2,"19,053,700"
1988-12-24,876.27,885.32,873.68,885.32,"9,102,200"
1988-12-23,890.48,890.48,876.77,876.77,"14,043,000"
1988-12-22,899.51,901.15,890.89,891.03,"15,075,000"
1988-12-21,898.64,899.63,897.69,899.63,"16,667,400"
1988-12-20,917.18,917.88,898.76,898.76,"16,532,500"
1988-12-19,908.12,920.73,908.12,916.94,"18,982,700"
1988-12-17,902.12,907.63,902.12,907.63,"13,342,300"
1988-12-16,908.47,908.47,898.03,901.96,"16,164,400"
1988-12-15,922.71,930.1,908.47,908.47,"20,991,500"
1988-12-14,919.45,922.56,912.85,922.56,"19,812,500"
1988-12-13,911.61,921.85,911.61,919.99,"27,307,600"
1988-12-12,890.06,911.35,890.06,911.35,"26,234,600"
1988-12-10,879.13,885.79,879.13,889.72,"11,636,400"
1988-12-09,871.14,879.13,871.14,879.13,"24,680,600"
1988-12-08,869.54,874.03,869.54,871.14,"22,204,000"
1988-12-07,857.51,869.44,857.51,869.25,"25,279,600"
1988-12-06,848.67,857.51,848.54,857.51,"19,890,700"
1988-12-05,834.43,851.23,834.43,848.46,"20,635,600"
1988-12-03,833.2,834.04,833.12,833.89,"10,509,100"
1988-12-02,825.41,839.15,825.41,833.69,"22,062,200"
1988-12-01,830.78,830.78,819.7,825,"14,309,200"
1988-11-30,835.41,839.82,830.94,831.12,"21,073,400"
1988-11-29,825.26,836.07,825.26,836.07,"22,838,900"
1988-11-28,811.01,826.03,811.01,826.03,"19,458,200"
1988-11-26,813.05,813.16,810.78,810.78,"11,185,500"
1988-11-25,806.4,818.64,806.4,813.09,"23,519,300"
1988-11-24,799.36,805.86,799.36,805.86,"18,910,800"
1988-11-23,787.3,799.14,787.3,799.14,"21,456,800"
1988-11-22,785.49,787.16,785.49,787.16,"15,415,600"
1988-11-21,779.05,787.5,779.05,785.41,"15,663,400"
1988-11-19,769.95,779.08,769.95,779.08,"8,630,200"
1988-11-18,763.87,769.59,763.64,769.59,"12,500,200"
1988-11-17,759.36,766.87,759.36,763.88,"15,091,500"
1988-11-16,769.39,772.5,759.37,759.37,"12,990,600"
1988-11-15,753.99,769.91,753.99,769.27,"12,702,000"
1988-11-14,763.11,763.11,752.27,753.57,"10,284,500"
1988-11-12,769.66,769.66,763.41,763.55,"7,784,900"
1988-11-11,772.2,778.75,770,770,"18,936,800"
1988-11-10,762.19,772.02,762.19,772.02,"14,996,800"
1988-11-09,766,766.11,760.65,762.12,"10,650,800"
1988-11-08,762.28,769.6,762.28,766.19,"15,903,400"
1988-11-07,756.88,761.4,756.88,762.19,"12,568,800"
1988-11-05,758.22,758.35,757.19,757.19,"7,451,200"
1988-11-04,749.24,760.3,749.24,758.39,"18,092,900"
1988-11-03,744.97,749.15,744.81,749.15,"14,734,600"
1988-11-02,737.06,746.09,737.06,744.97,"11,985,600"
1988-11-01,729.66,736.81,721.29,736.81,"8,575,600"
1988-10-31,741.42,741.42,729.79,729.79,"8,036,700"
1988-10-29,741.68,741.68,740.77,741.6,"6,333,300"
1988-10-28,740.78,742.88,739.62,741.61,"12,603,000"
1988-10-27,755.62,755.62,740.95,740.95,"12,125,600"
1988-10-26,758.46,760.28,756.03,756.03,"16,302,100"
1988-10-25,765.37,768.14,758.63,758.63,"17,966,300"
1988-10-24,750.48,764.91,750.48,764.85,"20,280,800"
1988-10-22,738.12,747.25,738.12,750.39,"9,814,700"
1988-10-21,738.57,739.03,735.58,738.12,"16,158,300"
1988-10-20,728.49,739.22,728.49,738.57,"19,611,400"
1988-10-19,717.67,728.1,717.67,728.1,"16,627,700"
1988-10-18,708.9,717.17,708.9,717.17,"12,249,500"
1988-10-17,706.16,710.92,706.16,708.91,"11,458,300"
1988-10-15,699.23,706.04,699.23,706.04,"8,116,600"
1988-10-14,686.28,699.2,686.28,699.2,"9,477,200"
1988-10-13,679.79,685.71,679.79,685.71,"8,638,600"
1988-10-12,680.24,680.56,679.27,679.64,"6,690,600"
1988-10-11,676.19,680.36,676.19,680.32,"7,185,000"
1988-10-10,674.54,676.15,673.51,676.12,"5,562,400"
1988-10-08,674.35,674.78,673.49,674.59,"3,871,500"
1988-10-07,677.19,677.19,672.43,674.45,"5,562,900"
1988-10-06,673.6,678.53,673.26,677.29,"5,808,100"
1988-10-05,679.06,679.06,671.63,673.78,"4,260,500"
1988-10-04,678.09,686.77,678.09,679.54,"5,662,900"
1988-09-30,670.24,677.54,670.24,677.54,"5,997,100"
1988-09-29,670.57,672.11,670.28,670.28,"6,459,300"
1988-09-28,670.96,670.96,668.49,670.64,"7,187,300"
1988-09-27,679.38,670.42,679.38,671.29,"4,224,700"
1988-09-24,674.44,680.1,674.42,680.1,"3,693,000"
1988-09-23,683.53,684.3,674.59,674.69,"4,878,000"
1988-09-22,662.86,683.73,662.61,683.73,"7,066,000"
1988-09-21,662.51,662.88,661.32,662.84,"5,320,000"
1988-09-20,665.92,665.92,661.35,662.55,"6,300,000"
1988-09-19,671.6,671.6,666.4,666.41,"4,356,000"
1988-09-16,680.51,680.51,670.91,671.77,"8,192,000"
1988-09-15,683.23,683.4,680.08,680.75,"6,948,000"
1988-09-14,680.38,683.39,677.05,683.39,"7,531,000"
1988-09-13,687.62,687.62,680.59,680.64,"7,815,000"
1988-09-12,688.84,688.84,683.4,687.82,"8,213,900"
1988-09-10,683.37,690.91,683.37,689.07,"7,350,300"
1988-09-09,665.37,682.84,665.37,682.84,"6,914,700"
1988-09-08,667.75,667.75,663.62,665.37,"5,260,800"
1988-09-07,671.53,671.53,667.6,667.74,"5,536,500"
1988-09-06,671.56,672.13,670.48,671.23,"5,233,000"
1988-09-05,678.34,678.58,670.99,671.55,"5,456,000"
1988-09-03,674.52,678.78,674.26,678.63,"4,262,000"
1988-09-02,675.84,675.95,672.73,674.68,"5,740,000"
1988-09-01,664.65,675.67,663.7,675.67,"5,971,000"
1988-08-31,675.23,675.23,664.43,664.43,"5,095,000"
1988-08-30,663.11,676.89,663.11,675.37,"6,686,000"
1988-08-29,670.22,670.22,662.69,662.69,"6,291,000"
1988-08-27,675.46,675.46,670.6,670.6,"5,852,000"
1988-08-26,681.9,681.9,675.66,675.8,"7,339,000"
1988-08-25,686.43,687.11,682.15,682.15,"7,297,000"
1988-08-24,690.14,690.14,686.41,686.46,"7,280,000"
