,date,stockCode,stockName,market,open,close,high,low,volume,amount,totShare,totAmount
31,20220510,005930,삼성전자,KOSPI,65900,65700,66300,65300,17235605,1132067708900,5969782550,392214713535000
32,20220509,005930,삼성전자,KOSPI,66300,66100,66900,66100,11858736,787562955000,5969782550,394602626555000
33,20220506,005930,삼성전자,KOSPI,67000,66500,67100,66500,14356156,957335193600,5969782550,396990539575000
34,20220504,005930,삼성전자,KOSPI,68000,67900,68400,67500,11505248,781073326235,5969782550,405348235145000
35,20220503,005930,삼성전자,KOSPI,67400,67500,68400,67300,14168875,962643054300,5969782550,402960322125000
36,20220502,005930,삼성전자,KOSPI,66600,67300,67600,66500,14106184,946016270200,5969782550,401766365615000
37,20220429,005930,삼성전자,KOSPI,65100,67400,67600,65000,26190390,1747030218800,5969782550,402363343870000
38,20220428,005930,삼성전자,KOSPI,65400,64800,65500,64500,16895527,1094277578880,5969782550,386841909240000
39,20220427,005930,삼성전자,KOSPI,65400,65000,65500,64900,18122084,1179918512650,5969782550,388035865750000
40,20220426,005930,삼성전자,KOSPI,66400,66100,66700,66100,12946923,858461258448,5969782550,394602626555000
41,20220425,005930,삼성전자,KOSPI,66500,66300,66700,66300,11016474,731676244400,5969782550,395796583065000
42,20220422,005930,삼성전자,KOSPI,67200,67000,67300,66700,11791478,789392306300,5969782550,399975430850000
43,20220421,005930,삼성전자,KOSPI,67600,67700,68300,67500,12847448,872983300180,5969782550,404154278635000
44,20220420,005930,삼성전자,KOSPI,67000,67400,67400,66500,16693293,1116160503800,5969782550,402363343870000
45,20220419,005930,삼성전자,KOSPI,67100,67300,68000,67000,12959434,876087930051,5969782550,401766365615000
46,20220418,005930,삼성전자,KOSPI,66500,66700,67100,66100,10119203,675310095100,5969782550,398184496085000
47,20220415,005930,삼성전자,KOSPI,67200,66600,67300,66500,13176415,878858388800,5969782550,397587517830000
48,20220414,005930,삼성전자,KOSPI,68700,67500,68700,67500,16409494,1112667612000,5969782550,402960322125000
49,20220413,005930,삼성전자,KOSPI,67300,68700,69000,67200,17378619,1183210424500,5969782550,410124061185000
50,20220412,005930,삼성전자,KOSPI,67600,67000,67700,67000,13924389,936611863500,5969782550,399975430850000
51,20220411,005930,삼성전자,KOSPI,67800,67900,68100,67400,12263735,831094572700,5969782550,405348235145000
52,20220408,005930,삼성전자,KOSPI,68100,67800,68300,67700,15453191,1050375034852,5969782550,404751256890000
53,20220407,005930,삼성전자,KOSPI,68500,68000,68500,68000,20683327,1409872624700,5969782550,405945213400000
54,20220406,005930,삼성전자,KOSPI,68600,68500,68800,68500,15517308,1064606110092,5969782550,408930104675000
55,20220405,005930,삼성전자,KOSPI,69400,69200,69600,69100,8467248,586498194900,5969782550,413108952460000
56,20220404,005930,삼성전자,KOSPI,68900,69300,69300,68600,11107905,766930294459,5969782550,413705930715000
57,20220401,005930,삼성전자,KOSPI,69500,69100,69500,69000,15916846,1100422376400,5969782550,412511974205000
58,20220331,005930,삼성전자,KOSPI,69900,69600,70200,69600,12510366,873212583300,5969782550,415496865480000
59,20220330,005930,삼성전자,KOSPI,70300,69900,70500,69800,12670187,887514318650,5969782550,417287800245000
60,20220329,005930,삼성전자,KOSPI,70000,70200,70300,69800,13686208,958589509700,5969782550,419078735010000
61,20220328,005930,삼성전자,KOSPI,69500,69700,69900,69200,12619289,878172199900,5969782550,416093843735000
62,20220325,005930,삼성전자,KOSPI,70100,69800,70200,69600,12986010,906006321000,5969782550,416690821990000
63,20220324,005930,삼성전자,KOSPI,69600,69800,70300,69600,37943357,2628885553700,5969782550,416690821990000
64,20220323,005930,삼성전자,KOSPI,70600,70500,71200,70300,12398025,875833161100,5969782550,420869669775000
65,20220322,005930,삼성전자,KOSPI,69900,70300,70500,69900,9402666,660385691100,5969782550,419675713265000
66,20220321,005930,삼성전자,KOSPI,70900,69900,71000,69900,11169002,784175429300,5969782550,417287800245000
67,20220318,005930,삼성전자,KOSPI,70600,70700,70900,70200,14410038,1017183110700,5969782550,422063626285000
68,20220317,005930,삼성전자,KOSPI,71200,71200,71800,70900,17646315,1258698481050,5969782550,425048517560000
69,20220316,005930,삼성전자,KOSPI,70200,70400,70500,69700,10175750,713364992981,5969782550,420272691520000
70,20220315,005930,삼성전자,KOSPI,69800,69500,70100,69500,10258562,715550312992,5969782550,414899887225000
71,20220314,005930,삼성전자,KOSPI,70000,70200,70200,69600,9040993,632752468500,5969782550,419078735010000
72,20220311,005930,삼성전자,KOSPI,70500,70000,70700,69700,15787655,1105586321900,5969782550,417884778500000
