,YYM,REALGDP,REALCONS,INV,M2,INFL,UNEMP,EMPLOY,CD_3M,RollingMean,TARGET1,QUARTER_2,QUARTER_3,QUARTER_4
62,201706,0.7,1.2,3.8473454739,0.006589988129835023,-0.0023334953816236403,3.8,0.1876827561,1.38,0.7449999999999993,1.0,1,0,0
63,201709,1.5,1.0,1.1905444929,0.01500487963565389,0.008576162167430068,3.7,0.2424065311,1.38,0.7999999999999992,0.0,0,1,0
64,201712,-0.1,0.5,1.3805202299000001,0.010576499338968759,-0.004831384674847783,3.7,0.20818227350000001,1.66,0.7699999999999992,1.0,0,0,1
65,201803,1.1,1.3,-1.567137615,0.020535183349851494,0.01077774541217602,4.0,0.0276005087,1.65,0.7799999999999992,0.0,0,0,0
66,201806,0.6,0.3,0.8469789569,0.015305131492056034,0.0002881844380404619,3.7,-0.081660048,1.65,0.7499999999999993,0.0,1,0,0
67,201809,0.6,0.5,-3.5160874239999997,0.015036155641428017,0.014597138192643966,4.0,-0.061574976,1.65,0.7349999999999992,1.0,0,1,0
68,201812,0.9,0.5,4.181233499599999,0.019977384093479156,-0.01230477993374357,3.8,0.4245689897,1.91,0.7399999999999992,0.0,0,0,1
69,201903,-0.3,0.1,-4.428652347,0.017479674796748057,0.0013416387158600163,3.8,0.37480757649999996,1.9,0.6749999999999992,1.0,0,0,0
70,201906,1.0,0.7,7.3292165452999996,0.015799222750880748,0.0037324145851278523,4.0,0.1489186726,1.8,0.6799999999999992,0.0,1,0,0
71,201909,0.4,0.4,-3.46283306,0.0224184782608694,0.0030511060259343914,3.4,0.41317117200000003,1.54,0.6849999999999992,1.0,0,1,0
72,201912,1.3,0.7,0.4974332577,0.01951390103164896,-0.0007604562737641984,3.7,0.614443851,1.53,0.7299999999999992,0.0,0,0,1
73,202003,-1.3,-6.5,-0.5639490079999999,0.025006002812746342,0.003995433789954372,3.8,-0.08969989,1.23,0.6199999999999991,0.0,0,0,0
