,year,metro,id,sex,old_h,grand_h,single_h,multi_h,age,number,education,marriage,asset,debt,income,income_d,industry,job,house,education_year
1216,2021,G2,50900241,1,G2,G2,G2,G2,50,4,4,2,59140,12600,6457,5273,F,1,1,9
1217,2021,G2,50900251,2,G2,G2,G2,G2,34,1,4,1,16984,6000,4017,3460,Q,2,1,9
1218,2021,G2,50900261,1,G2,G2,G2,G2,50,4,4,2,131607,69000,9800,6155,J,2,1,9
1219,2021,G2,50900271,1,G2,G2,G2,G1,40,4,7,2,54300,21817,2408,745,N,3,1,16
1220,2021,G2,50900281,1,G2,G2,G2,G2,55,4,6,2,211301,141000,21117,13098,O,4,1,14
1221,2021,G2,50900291,1,G2,G2,G2,G2,72,2,3,3,11590,0,3454,3245,,,1,6
1222,2021,G2,50900311,2,G2,G2,G2,G2,58,2,6,3,25380,11300,4288,3423,Q,8,1,14
1223,2021,G2,50900321,1,G1,G2,G2,G2,77,2,4,2,2580,0,2830,2653,G,9,5,9
1224,2021,G2,50900341,1,G1,G2,G2,G2,74,1,6,3,56772,0,4739,4055,,,1,14
1225,2021,G2,50900351,2,G2,G2,G2,G2,32,1,7,1,4130,0,1293,1179,,,2,16
1226,2021,G2,50900371,2,G2,G2,G2,G2,52,4,4,2,8592,6000,3656,3026,,,2,9
1227,2021,G2,50900381,1,G2,G2,G2,G2,58,5,6,2,36100,0,20159,16789,O,4,1,14
1228,2021,G2,51000202,1,G2,G2,G2,G2,46,4,6,2,32672,500,11427,9510,H,3,2,14
1229,2021,G2,51000252,1,G2,G2,G2,G2,68,3,4,2,55226,8308,3801,3186,H,8,1,9
1230,2021,G2,51000262,1,G2,G2,G2,G2,37,4,5,2,20060,4500,7071,6373,G,5,1,12
1231,2021,G2,51000272,1,G2,G2,G2,G2,52,3,6,2,43150,22000,5406,4568,F,7,1,14
1232,2021,G2,51000282,1,G1,G2,G2,G2,67,2,4,2,61300,0,2822,2550,H,8,1,9
1233,2021,G2,51000292,1,G2,G2,G2,G2,52,2,6,2,21850,0,2393,2102,L,2,1,14
1234,2021,G2,51000302,2,G2,G2,G2,G2,25,1,6,1,6358,2681,2730,2492,Q,3,1,14
1235,2021,G2,51000322,1,G2,G2,G2,G2,59,2,4,2,31586,0,8953,6851,C,8,1,9
1236,2021,G2,51000332,1,G2,G2,G2,G2,43,3,4,2,10550,4600,4031,3557,C,8,3,9
1237,2021,G2,51000342,1,G2,G2,G2,G2,49,2,4,2,33568,19000,13342,11736,N,8,2,9
1238,2021,G2,51000352,2,G2,G2,G2,G2,77,2,2,3,7820,0,6152,5852,A,6,1,0
1239,2021,G2,51000362,1,G1,G2,G2,G2,77,2,2,2,11650,0,2041,2022,Q,9,1,0
1240,2021,G2,51000372,1,G1,G2,G2,G2,73,2,3,2,42659,1000,4466,4143,A,6,1,6
1241,2021,G2,51000382,1,G2,G2,G2,G2,61,2,4,2,14167,700,6362,5284,C,8,1,9
1242,2021,G2,51000392,1,G2,G2,G2,G2,60,2,5,2,12833,6100,5368,4745,I,4,1,12
1243,2021,G2,51100212,2,G1,G2,G2,G2,67,2,2,2,26150,0,2219,2073,Q,4,1,0
1244,2021,G2,51100222,1,G2,G2,G2,G2,68,3,4,2,26300,500,6326,6005,,,1,9
1245,2021,G2,51100232,2,G2,G2,G1,G2,47,2,5,4,920,0,2778,2628,P,2,3,12
1246,2021,G2,51100242,1,G2,G2,G2,G2,65,2,3,2,19550,0,3086,2805,,,1,6
1247,2021,G2,51100272,1,G2,G2,G2,G2,44,3,8,2,93700,22080,9489,7950,M,2,2,18
1248,2021,G2,51100302,1,G2,G2,G2,G2,66,3,4,2,31610,0,4891,4001,,,1,9
1249,2021,G2,51100312,1,G2,G2,G2,G2,48,4,7,2,24459,0,8926,8137,P,2,1,16
1250,2021,G2,51100332,1,G2,G2,G2,G2,64,2,6,2,80220,0,5682,5029,P,2,1,14
1251,2021,G2,51100342,1,G1,G2,G2,G2,72,2,4,2,31570,0,1747,1738,A,6,1,9
1252,2021,G2,51100352,1,G1,G2,G2,G2,86,2,6,2,80550,0,2024,1983,,,1,14
1253,2021,G2,51100372,2,G1,G2,G2,G2,74,1,2,3,4580,0,1040,1003,,,1,0
1254,2021,G2,51100382,1,G2,G2,G2,G2,57,1,4,4,2000,0,986,985,,,3,9
1255,2021,G2,51100392,1,G2,G2,G2,G2,52,6,6,2,58700,2900,14770,11977,Q,3,1,14
1256,2021,G2,51700201,1,G2,G2,G2,G2,49,6,4,2,26935,10045,18783,17503,F,9,1,9
1257,2021,G2,51700211,2,G1,G2,G2,G2,66,1,4,3,540,0,1781,1746,Q,2,3,9
1258,2021,G2,51700281,1,G2,G2,G2,G2,36,2,7,2,12564,1900,7630,6370,C,2,3,16
1259,2021,G2,51700311,1,G2,G2,G2,G2,57,3,4,2,62670,25000,9022,7683,S,9,1,9
1260,2021,G2,51700321,1,G1,G2,G2,G2,72,2,2,2,33193,0,4304,3979,G,5,1,0
1261,2021,G2,51700351,2,G2,G2,G2,G2,78,4,4,3,18900,11000,10751,9338,,,1,9
1262,2021,G2,51700361,1,G2,G2,G2,G2,45,4,4,2,10673,2500,7290,6470,C,8,2,9
1263,2021,G2,51700371,2,G2,G2,G2,G2,45,2,4,4,2230,2200,2578,2495,,,3,9
1264,2021,G2,51700381,2,G1,G2,G2,G2,77,1,1,3,70,0,1230,1225,O,9,5,0
1265,2021,G2,51700391,1,G2,G2,G2,G2,68,3,4,2,68592,0,12704,9403,N,8,1,9
1266,2021,G2,51800201,1,G2,G2,G2,G2,48,4,4,2,1790,4300,7118,6246,H,8,3,9
1267,2021,G2,51800211,1,G2,G2,G2,G2,68,2,3,2,29300,0,1932,1873,,,1,6
1268,2021,G2,51800221,2,G1,G2,G2,G2,79,1,1,3,30600,0,938,937,,,1,0
1269,2021,G2,51800241,1,G2,G2,G2,G2,54,1,6,4,210,0,690,-530,R,5,3,14
1270,2021,G2,51800251,1,G2,G2,G2,G2,56,4,6,2,48335,0,9130,7352,O,3,1,14
1271,2021,G2,51800291,2,G2,G2,G2,G2,47,3,4,4,24040,15700,1580,773,,,1,9
1272,2021,G2,51800311,2,G1,G2,G2,G2,83,1,1,3,4050,0,956,955,,,5,0
1273,2021,G2,51800321,2,G1,G2,G2,G2,66,1,2,3,13518,200,1691,1622,,,1,0
1274,2021,G2,51800331,2,G1,G2,G2,G2,70,1,3,3,16300,0,872,841,,,1,6
1275,2021,G2,51800341,1,G2,G2,G2,G2,58,5,4,2,33935,0,5981,5276,F,7,1,9
1276,2021,G2,51800351,1,G2,G2,G2,G2,48,2,6,2,34700,0,2808,1543,C,3,1,14
1277,2021,G2,51800391,2,G2,G2,G2,G2,68,2,2,3,3060,0,2493,2465,Q,9,3,0
1278,2021,G2,51900201,2,G2,G2,G2,G2,44,4,6,2,110807,66146,7446,6143,M,3,1,14
1279,2021,G2,51900211,2,G1,G2,G2,G2,75,1,2,3,11365,0,893,887,,,1,0
1280,2021,G2,51900231,1,G1,G2,G2,G2,73,2,5,2,62316,1000,12085,10836,,,1,12
1281,2021,G2,51900241,2,G1,G2,G2,G2,72,1,2,3,15000,0,2385,2291,N,9,1,0
1282,2021,G2,51900251,1,G1,G2,G2,G2,65,2,4,2,12900,0,3058,2929,,,1,9
1283,2021,G2,51900281,2,G2,G2,G2,G2,63,2,3,3,2310,4000,7795,6351,S,4,3,6
1284,2021,G2,51900291,1,G2,G2,G2,G2,42,4,4,2,21500,5000,8016,6918,S,7,1,9
1285,2021,G2,51900311,1,G2,G2,G2,G2,64,3,6,2,800,0,7051,6665,S,2,5,14
1286,2021,G2,51900321,1,G1,G2,G2,G2,75,2,3,2,14550,0,2177,2165,A,6,1,6
1287,2021,G2,51900331,1,G2,G2,G2,G2,69,3,4,2,9360,0,2213,2080,,,1,9
1288,2021,G2,51900341,1,G2,G2,G2,G2,68,2,2,2,12950,2010,4959,4592,A,6,1,0
1289,2021,G2,51900371,1,G2,G2,G2,G2,59,2,6,2,60520,0,11247,9111,C,3,1,14
1290,2021,G2,51900381,1,G2,G2,G1,G2,55,2,3,4,1330,0,1501,1499,N,9,1,6
1291,2021,G2,51900391,1,G2,G2,G2,G2,57,1,4,4,150,8000,691,512,F,7,4,9
1292,2021,G2,52000232,1,G2,G2,G2,G2,39,3,5,2,145205,45017,5778,4148,G,5,1,12
1293,2021,G2,52000242,2,G2,G2,G2,G2,92,2,4,3,16700,700,2304,2303,,,2,9
1294,2021,G2,52000252,1,G2,G2,G2,G2,57,4,7,2,77155,17344,12690,9354,M,2,1,16
1295,2021,G2,52000272,1,G2,G2,G2,G2,46,1,8,1,242400,140000,8360,6126,M,2,2,18
1296,2021,G2,52000292,1,G2,G2,G2,G2,45,2,6,2,81474,22509,9371,7693,J,3,1,14
1297,2021,G2,52000302,2,G2,G1,G2,G2,67,2,2,3,5870,0,2211,2134,L,9,2,0
1298,2021,G2,52000312,2,G2,G2,G1,G2,37,2,4,1,5410,3300,2517,2128,S,4,2,9
