종목코드,종목명,결산월,회계연도,자산총계,부채총계,자본총계,자본금,이익잉여금,매출액,영업이익,당기순이익,배당금,EPS,BPS,SPS,CEPS
A009150,삼성전기,12,2013,7185342978,2927315539,4258027439,388003400,2119375369,8256578863,463964695.5,345692360.3,-79082437.06,4256,53832,106398,12435
A009150,삼성전기,12,2014,7718611985,3075815905,4642796080,388003400,2504623128,7143745730,1675795.5,508911818.1,-58296275.76,6478,58718,92058,15066
A009150,삼성전기,12,2015,7269452863,2954069645,4315383218,388003400,2445541428,6176258144,301331565.5,20643329.45,-62971452.33,144,55887,79590,6633
A009150,삼성전기,12,2016,7662629260,3325043961,4337585298,388003400,2533753583,6033040464,24399516.93,22914358.72,-41009848.41,190,56125,77745,8134
A009150,삼성전기,12,2017,7767403543,3435912157,4331491386,388003400,2609842739,6838474133,306203428.6,177255994.4,-47877329.24,2084,56013,88124,10411
A009150,삼성전기,12,2018,8644914206,3698416650,4946497556,388003400,3179343703,8193023253,1018052800,685018514.2,-60513599.01,8457,63815,105579,18317
A009150,삼성전기,12,2019,8674248230,3244151344,5430096886,388003400,3572878229,8040817646,733968842.5,528048551,-75983779,6627,69957,103618,18016
A009150,삼성전기,12,2020,9225498476,3315102537,5910395940,388003400,4073266533,8208738308,829130678.3,623811177.8,-83242156.46,7783,76406,105782,18879
A009150,삼성전기,12,2021,9941374038,3070248396,6871125643,388003400,4807222217,9675036128,1486872834,915432452.7,-131170767.5,11500,88937,124677,22962
A009150,삼성전기,12,2022,10997170899,3303686219,7693484679,388003400,5620512080,9424551868,1182835924,993519182.2,-161602887.4,12636,99785,121449,24128
A009150,삼성전기,12,2023,11657871602,3627546626,8030324975,388003400,5873076380,8909448484,639423737.1,450482125.2,-160342144.8,5450,103878,114811,16587
A009150,삼성전기,12,2024,12792402921,3776548889,9015854032,388003400,6490395205,10294102976,735005857,703215637.1,-88584145.45,8752,116340,132655,19890
A009150,삼성전기,12,2025,14595895255,4798551373,9797343883,388003400,7064997439,11314459238,913331178.6,730989517.2,-137716643.1,9099,126302,145804,21336
A005380,현대차,12,2000,31987210000,21993372000,9993838000,1476455000,1542870000,32518001000,1897377000,613847000,-141289000,2152,28474,115962,7129
A005380,현대차,12,2001,39872296000,28388315000,11483981000,1476455000,2258796000,39851575000,3118115000,1417848000,-167653000,4023,32044,139146,10378
A005380,현대차,12,2002,45945466000,32687606000,13257860000,1476454000,3701201000,44419626000,3130842000,1924585000,-276089000,5078,36579,156247,14926
A005380,현대차,12,2003,53426822000,37997975000,15428847000,1478603000,5188818000,46588410000,2694443000,2061260000,-395989000,6305,42637,163855,14039
A005380,현대차,12,2004,58366562000,41236727000,17129835000,1480752000,6530244000,53100621000,2382018000,1862934000,-285674000,5942,46574,187049,13641
A005380,현대차,12,2005,65891346000,46250937000,19640409000,1482905000,8813754000,58830632000,2291440000,2819601000,-404080000,8186,55290,207246,18736
A005380,현대차,12,2006,70709485000,49743512000,20965973000,1484942000,9809765000,63648025000,1796690000,1311235000,-381613000,4429,59055,223880,15088
A005380,현대차,12,2007,83847526000,60133890000,23713636000,1486980000,11240361000,69601516000,2848022000,1956087000,-349782000,5622,66735,244470,16658
